if system_dependent('IsDebugMode')==1, dbquit; end
Experimento_PRINCIPAL_AEIQ_geral
Exp: 1 - 	 Ger: 1 - 	 Best:    0.26895 - 	 Mean: 3007367.66513 - 	 AQreal:   35.78165  	 
Exp: 1 - 	 Ger: 61 - 	 Best:    0.17454 - 	 Mean:    0.18475 - 	 AQreal:   19.98034  	 
Exp: 1 - 	 Ger: 62 - 	 Best:    0.17454 - 	 Mean:    0.18472 - 	 AQreal:   19.98034  	 
Exp: 1 - 	 Ger: 63 - 	 Best:    0.17454 - 	 Mean:    0.18467 - 	 AQreal:   19.98034  	 
Exp: 1 - 	 Ger: 64 - 	 Best:    0.17454 - 	 Mean:    0.18467 - 	 AQreal:   19.98034  	 
Exp: 1 - 	 Ger: 65 - 	 Best:    0.17454 - 	 Mean:    0.18449 - 	 AQreal:    9.59860  	 
Exp: 1 - 	 Ger: 66 - 	 Best:    0.17454 - 	 Mean:    0.18449 - 	 AQreal:    9.59860  	 
Exp: 1 - 	 Ger: 67 - 	 Best:    0.17454 - 	 Mean:    0.18435 - 	 AQreal:    9.59860  	 
Exp: 1 - 	 Ger: 68 - 	 Best:    0.17454 - 	 Mean:    0.18425 - 	 AQreal:    9.59860  	 
Exp: 1 - 	 Ger: 69 - 	 Best:    0.17454 - 	 Mean:    0.18405 - 	 AQreal:    9.59860  	 
Exp: 1 - 	 Ger: 70 - 	 Best:    0.17454 - 	 Mean:    0.18399 - 	 AQreal:   17.31317  	 
Exp: 1 - 	 Ger: 71 - 	 Best:    0.17454 - 	 Mean:    0.18380 - 	 AQreal:   17.31317  	 
Exp: 1 - 	 Ger: 72 - 	 Best:    0.17454 - 	 Mean:    0.18340 - 	 AQreal:   17.31317  	 
Exp: 1 - 	 Ger: 73 - 	 Best:    0.17454 - 	 Mean:    0.18335 - 	 AQreal:   17.31317  	 
Exp: 1 - 	 Ger: 74 - 	 Best:    0.17454 - 	 Mean:    0.18335 - 	 AQreal:   17.31317  	 
Exp: 1 - 	 Ger: 75 - 	 Best:    0.17230 - 	 Mean:    0.18290 - 	 AQreal:   12.56835  	 
Exp: 1 - 	 Ger: 76 - 	 Best:    0.17230 - 	 Mean:    0.18274 - 	 AQreal:   12.56835  	 
Exp: 1 - 	 Ger: 77 - 	 Best:    0.17230 - 	 Mean:    0.18274 - 	 AQreal:   12.56835  	 
Exp: 1 - 	 Ger: 78 - 	 Best:    0.17230 - 	 Mean:    0.18265 - 	 AQreal:   12.56835  	 
Exp: 1 - 	 Ger: 79 - 	 Best:    0.17230 - 	 Mean:    0.18264 - 	 AQreal:   12.56835  	 
Exp: 1 - 	 Ger: 80 - 	 Best:    0.17230 - 	 Mean:    0.18241 - 	 AQreal:   11.83177  	 
Exp: 1 - 	 Ger: 81 - 	 Best:    0.17230 - 	 Mean:    0.18222 - 	 AQreal:   11.83177  	 
Exp: 1 - 	 Ger: 82 - 	 Best:    0.17230 - 	 Mean:    0.18207 - 	 AQreal:   11.83177  	 
Exp: 1 - 	 Ger: 83 - 	 Best:    0.17230 - 	 Mean:    0.18158 - 	 AQreal:   11.83177  	 
Exp: 1 - 	 Ger: 84 - 	 Best:    0.17230 - 	 Mean:    0.18138 - 	 AQreal:   11.83177  	 
Exp: 1 - 	 Ger: 85 - 	 Best:    0.17230 - 	 Mean:    0.18136 - 	 AQreal:   12.64263  	 
Exp: 1 - 	 Ger: 86 - 	 Best:    0.17230 - 	 Mean:    0.18127 - 	 AQreal:   12.64263  	 
Exp: 1 - 	 Ger: 87 - 	 Best:    0.17230 - 	 Mean:    0.18121 - 	 AQreal:   12.64263  	 
Exp: 1 - 	 Ger: 88 - 	 Best:    0.17230 - 	 Mean:    0.18107 - 	 AQreal:   12.64263  	 
Exp: 1 - 	 Ger: 89 - 	 Best:    0.17230 - 	 Mean:    0.18056 - 	 AQreal:   12.64263  	 
Exp: 1 - 	 Ger: 90 - 	 Best:    0.17230 - 	 Mean:    0.18043 - 	 AQreal:    4.61937  	 
Exp: 1 - 	 Ger: 91 - 	 Best:    0.17230 - 	 Mean:    0.18028 - 	 AQreal:    4.61937  	 
Exp: 1 - 	 Ger: 92 - 	 Best:    0.17230 - 	 Mean:    0.18012 - 	 AQreal:    4.61937  	 
Exp: 1 - 	 Ger: 93 - 	 Best:    0.17230 - 	 Mean:    0.17993 - 	 AQreal:    4.61937  	 
Exp: 1 - 	 Ger: 94 - 	 Best:    0.17230 - 	 Mean:    0.17984 - 	 AQreal:    4.61937  	 
Exp: 1 - 	 Ger: 95 - 	 Best:    0.17230 - 	 Mean:    0.17975 - 	 AQreal:    4.63318  	 
Exp: 1 - 	 Ger: 96 - 	 Best:    0.17230 - 	 Mean:    0.17975 - 	 AQreal:    4.63318  	 
Exp: 1 - 	 Ger: 97 - 	 Best:    0.17230 - 	 Mean:    0.17953 - 	 AQreal:    4.63318  	 
Exp: 1 - 	 Ger: 98 - 	 Best:    0.17230 - 	 Mean:    0.17944 - 	 AQreal:    4.63318  	 
Exp: 1 - 	 Ger: 99 - 	 Best:    0.17230 - 	 Mean:    0.17915 - 	 AQreal:    4.63318  	 
Exp: 1 - 	 Ger: 100 - 	 Best:    0.17230 - 	 Mean:    0.17910 - 	 AQreal:    4.17286  	 
<a href="matlab: opentoline('D:\Problemas\Liquid saturated steam heat exchanger 2\Experimento_PRINCIPAL_AEIQ_geral.m',136,1)">136 </a>tgen = toc;
if system_dependent('IsDebugMode')==1, dbcont; end
Exp: 1 - 	 Ger: 1 - 	 Best:    0.13091 - 	 Mean:    0.23056 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.13091 - 	 Mean:    0.17546 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.13091 - 	 Mean:    0.16604 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.13091 - 	 Mean:    0.16155 - 	 AQreal:    1.00000  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.13091 - 	 Mean:    0.15798 - 	 AQreal:    0.93198  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.13091 - 	 Mean:    0.15419 - 	 AQreal:    0.93198  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.13091 - 	 Mean:    0.15160 - 	 AQreal:    0.93198  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.13091 - 	 Mean:    0.15065 - 	 AQreal:    0.93198  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.13091 - 	 Mean:    0.14914 - 	 AQreal:    0.93198  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.13091 - 	 Mean:    0.14819 - 	 AQreal:    0.92531  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.13091 - 	 Mean:    0.14723 - 	 AQreal:    0.92531  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.13091 - 	 Mean:    0.14583 - 	 AQreal:    0.92531  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.13091 - 	 Mean:    0.14496 - 	 AQreal:    0.92531  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.13081 - 	 Mean:    0.14397 - 	 AQreal:    0.92531  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.13081 - 	 Mean:    0.14342 - 	 AQreal:    0.92216  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.13081 - 	 Mean:    0.14301 - 	 AQreal:    0.92216  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.13081 - 	 Mean:    0.14273 - 	 AQreal:    0.92216  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.12968 - 	 Mean:    0.14212 - 	 AQreal:    0.92216  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.12968 - 	 Mean:    0.14183 - 	 AQreal:    0.92216  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.12968 - 	 Mean:    0.14147 - 	 AQreal:    0.91495  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.12968 - 	 Mean:    0.14076 - 	 AQreal:    0.91495  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.12968 - 	 Mean:    0.13971 - 	 AQreal:    0.91495  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.12968 - 	 Mean:    0.13914 - 	 AQreal:    0.91495  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.12968 - 	 Mean:    0.13855 - 	 AQreal:    0.91495  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.12774 - 	 Mean:    0.13812 - 	 AQreal:    0.76766  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.12774 - 	 Mean:    0.13787 - 	 AQreal:    0.76766  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.12774 - 	 Mean:    0.13741 - 	 AQreal:    0.76766  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.12774 - 	 Mean:    0.13688 - 	 AQreal:    0.76766  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    0.12774 - 	 Mean:    0.13673 - 	 AQreal:    0.76766  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    0.12774 - 	 Mean:    0.13625 - 	 AQreal:    0.70603  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    0.12774 - 	 Mean:    0.13574 - 	 AQreal:    0.70603  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    0.12774 - 	 Mean:    0.13550 - 	 AQreal:    0.70603  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    0.12774 - 	 Mean:    0.13521 - 	 AQreal:    0.70603  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    0.12774 - 	 Mean:    0.13503 - 	 AQreal:    0.70603  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    0.12774 - 	 Mean:    0.13471 - 	 AQreal:    0.69483  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    0.12774 - 	 Mean:    0.13464 - 	 AQreal:    0.69483  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    0.12774 - 	 Mean:    0.13421 - 	 AQreal:    0.69483  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    0.12093 - 	 Mean:    0.13360 - 	 AQreal:    0.69483  	 
Exp: 1 - 	 Ger: 39 - 	 Best:    0.12093 - 	 Mean:    0.13349 - 	 AQreal:    0.69483  	 
Exp: 1 - 	 Ger: 40 - 	 Best:    0.12093 - 	 Mean:    0.13299 - 	 AQreal:    0.66357  	 
Exp: 1 - 	 Ger: 41 - 	 Best:    0.12093 - 	 Mean:    0.13276 - 	 AQreal:    0.66357  	 
Exp: 1 - 	 Ger: 42 - 	 Best:    0.12093 - 	 Mean:    0.13240 - 	 AQreal:    0.66357  	 
Exp: 1 - 	 Ger: 43 - 	 Best:    0.12093 - 	 Mean:    0.13206 - 	 AQreal:    0.66357  	 
Exp: 1 - 	 Ger: 44 - 	 Best:    0.12093 - 	 Mean:    0.13180 - 	 AQreal:    0.66357  	 
Exp: 1 - 	 Ger: 45 - 	 Best:    0.12093 - 	 Mean:    0.13154 - 	 AQreal:    0.60607  	 
Exp: 1 - 	 Ger: 46 - 	 Best:    0.12093 - 	 Mean:    0.13150 - 	 AQreal:    0.60607  	 
Exp: 1 - 	 Ger: 47 - 	 Best:    0.12093 - 	 Mean:    0.13134 - 	 AQreal:    0.60607  	 
Exp: 1 - 	 Ger: 48 - 	 Best:    0.12093 - 	 Mean:    0.13115 - 	 AQreal:    0.60607  	 
Exp: 1 - 	 Ger: 49 - 	 Best:    0.12093 - 	 Mean:    0.13111 - 	 AQreal:    0.60607  	 
Exp: 1 - 	 Ger: 50 - 	 Best:    0.12093 - 	 Mean:    0.13078 - 	 AQreal:    0.53107  	 
Exp: 1 - 	 Ger: 51 - 	 Best:    0.12093 - 	 Mean:    0.13043 - 	 AQreal:    0.53107  	 
Exp: 1 - 	 Ger: 52 - 	 Best:    0.12093 - 	 Mean:    0.13035 - 	 AQreal:    0.53107  	 
Exp: 1 - 	 Ger: 53 - 	 Best:    0.12093 - 	 Mean:    0.13010 - 	 AQreal:    0.53107  	 
Exp: 1 - 	 Ger: 54 - 	 Best:    0.12093 - 	 Mean:    0.12990 - 	 AQreal:    0.53107  	 
Exp: 1 - 	 Ger: 55 - 	 Best:    0.12093 - 	 Mean:    0.12985 - 	 AQreal:    0.45704  	 
Exp: 1 - 	 Ger: 56 - 	 Best:    0.12093 - 	 Mean:    0.12982 - 	 AQreal:    0.45704  	 
Exp: 1 - 	 Ger: 57 - 	 Best:    0.12093 - 	 Mean:    0.12979 - 	 AQreal:    0.45704  	 
Exp: 1 - 	 Ger: 58 - 	 Best:    0.12093 - 	 Mean:    0.12954 - 	 AQreal:    0.45704  	 
Exp: 1 - 	 Ger: 59 - 	 Best:    0.12093 - 	 Mean:    0.12928 - 	 AQreal:    0.45704  	 
Exp: 1 - 	 Ger: 60 - 	 Best:    0.12093 - 	 Mean:    0.12909 - 	 AQreal:    0.42429  	 
Exp: 1 - 	 Ger: 61 - 	 Best:    0.12093 - 	 Mean:    0.12884 - 	 AQreal:    0.42429  	 
Exp: 1 - 	 Ger: 62 - 	 Best:    0.12050 - 	 Mean:    0.12839 - 	 AQreal:    0.42429  	 
Exp: 1 - 	 Ger: 63 - 	 Best:    0.12050 - 	 Mean:    0.12822 - 	 AQreal:    0.42429  	 
Exp: 1 - 	 Ger: 64 - 	 Best:    0.12050 - 	 Mean:    0.12806 - 	 AQreal:    0.42429  	 
Exp: 1 - 	 Ger: 65 - 	 Best:    0.12050 - 	 Mean:    0.12791 - 	 AQreal:    0.39046  	 
Exp: 1 - 	 Ger: 66 - 	 Best:    0.12050 - 	 Mean:    0.12768 - 	 AQreal:    0.39046  	 
Exp: 1 - 	 Ger: 67 - 	 Best:    0.12050 - 	 Mean:    0.12742 - 	 AQreal:    0.39046  	 
Exp: 1 - 	 Ger: 68 - 	 Best:    0.12050 - 	 Mean:    0.12725 - 	 AQreal:    0.39046  	 
Exp: 1 - 	 Ger: 69 - 	 Best:    0.12050 - 	 Mean:    0.12668 - 	 AQreal:    0.39046  	 
Exp: 1 - 	 Ger: 70 - 	 Best:    0.12050 - 	 Mean:    0.12648 - 	 AQreal:    0.38075  	 
Exp: 1 - 	 Ger: 71 - 	 Best:    0.12050 - 	 Mean:    0.12599 - 	 AQreal:    0.38075  	 
Exp: 1 - 	 Ger: 72 - 	 Best:    0.12050 - 	 Mean:    0.12568 - 	 AQreal:    0.38075  	 
Exp: 1 - 	 Ger: 73 - 	 Best:    0.12050 - 	 Mean:    0.12553 - 	 AQreal:    0.38075  	 
Exp: 1 - 	 Ger: 74 - 	 Best:    0.12050 - 	 Mean:    0.12515 - 	 AQreal:    0.38075  	 
Exp: 1 - 	 Ger: 75 - 	 Best:    0.12050 - 	 Mean:    0.12492 - 	 AQreal:    0.37305  	 
Exp: 1 - 	 Ger: 76 - 	 Best:    0.11801 - 	 Mean:    0.12435 - 	 AQreal:    0.37305  	 
Exp: 1 - 	 Ger: 77 - 	 Best:    0.11801 - 	 Mean:    0.12401 - 	 AQreal:    0.37305  	 
Exp: 1 - 	 Ger: 78 - 	 Best:    0.11801 - 	 Mean:    0.12384 - 	 AQreal:    0.37305  	 
Exp: 1 - 	 Ger: 79 - 	 Best:    0.11801 - 	 Mean:    0.12366 - 	 AQreal:    0.37305  	 
Exp: 1 - 	 Ger: 80 - 	 Best:    0.11774 - 	 Mean:    0.12348 - 	 AQreal:    0.31519  	 
Exp: 1 - 	 Ger: 81 - 	 Best:    0.11774 - 	 Mean:    0.12324 - 	 AQreal:    0.31519  	 
Exp: 1 - 	 Ger: 82 - 	 Best:    0.11716 - 	 Mean:    0.12243 - 	 AQreal:    0.31519  	 
Exp: 1 - 	 Ger: 83 - 	 Best:    0.11716 - 	 Mean:    0.12214 - 	 AQreal:    0.31519  	 
Exp: 1 - 	 Ger: 84 - 	 Best:    0.11716 - 	 Mean:    0.12200 - 	 AQreal:    0.31519  	 
Exp: 1 - 	 Ger: 85 - 	 Best:    0.11562 - 	 Mean:    0.12164 - 	 AQreal:    0.24997  	 
Exp: 1 - 	 Ger: 86 - 	 Best:    0.11562 - 	 Mean:    0.12124 - 	 AQreal:    0.24997  	 
Exp: 1 - 	 Ger: 87 - 	 Best:    0.11529 - 	 Mean:    0.12078 - 	 AQreal:    0.24997  	 
Exp: 1 - 	 Ger: 88 - 	 Best:    0.11529 - 	 Mean:    0.12052 - 	 AQreal:    0.24997  	 
Exp: 1 - 	 Ger: 89 - 	 Best:    0.11529 - 	 Mean:    0.12037 - 	 AQreal:    0.24997  	 
Exp: 1 - 	 Ger: 90 - 	 Best:    0.11529 - 	 Mean:    0.12011 - 	 AQreal:    0.21218  	 
Exp: 1 - 	 Ger: 91 - 	 Best:    0.11435 - 	 Mean:    0.11960 - 	 AQreal:    0.21218  	 
Exp: 1 - 	 Ger: 92 - 	 Best:    0.11435 - 	 Mean:    0.11938 - 	 AQreal:    0.21218  	 
Exp: 1 - 	 Ger: 93 - 	 Best:    0.11435 - 	 Mean:    0.11899 - 	 AQreal:    0.21218  	 
Exp: 1 - 	 Ger: 94 - 	 Best:    0.11435 - 	 Mean:    0.11886 - 	 AQreal:    0.21218  	 
Exp: 1 - 	 Ger: 95 - 	 Best:    0.11435 - 	 Mean:    0.11861 - 	 AQreal:    0.20733  	 
Exp: 1 - 	 Ger: 96 - 	 Best:    0.11435 - 	 Mean:    0.11853 - 	 AQreal:    0.20733  	 
Exp: 1 - 	 Ger: 97 - 	 Best:    0.11435 - 	 Mean:    0.11834 - 	 AQreal:    0.20733  	 
Exp: 1 - 	 Ger: 98 - 	 Best:    0.11435 - 	 Mean:    0.11830 - 	 AQreal:    0.20733  	 
Exp: 1 - 	 Ger: 99 - 	 Best:    0.11398 - 	 Mean:    0.11796 - 	 AQreal:    0.20733  	 
Exp: 1 - 	 Ger: 100 - 	 Best:    0.11398 - 	 Mean:    0.11777 - 	 AQreal:    0.20411  	 


             Etapa 1

Exp 1 - Aptidao: 0.172304

Aptidão Média: 0.172304

Aptidão Desvio: 0.000000

Tempo Total(1 experimentos): 3599.362465 s


             Etapa 2 - Random

                RMSE

Exp 1 - Treinamento: 0.028780  Validacao: 0.163632  Teste: 0.193688  SRG: 1.430047

Média: Treinamento: 0.028780  Validacao: 0.163632  Teste: 0.193688

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.028780  Validacao: 0.163632  Teste: 0.193688  SRG: 1.430047

                fit

Exp 1 - Treinamento: 98.106872  Validacao: 91.134746  Teste: 88.113780  SRG: 1.430047

Média: Treinamento: 98.106872  Validacao: 91.134746  Teste: 88.113780

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 98.106872  Validacao: 91.134746  Teste: 88.113780  SRG: 1.430047
                RRSE

Exp 1 - Treinamento: 0.018931  Validacao: 0.088653  Teste: 0.118862  SRG: 1.430047

Média: Treinamento: 0.018931  Validacao: 0.088653  Teste: 0.118862

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.018931  Validacao: 0.088653  Teste: 0.118862  SRG: 1.430047

Tempo Total(1 experimentos): 72909.311406 s


             Etapa 2 - SRG

                RMSE

Exp 1 - Treinamento: 0.034697  Validacao: 0.240361  Teste: 0.320770  SRG: 1.146698

Média: Treinamento: 0.034697  Validacao: 0.240361  Teste: 0.320770

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.034697  Validacao: 0.240361  Teste: 0.320770  SRG: 1.146698

                fit

Exp 1 - Treinamento: 97.717676  Validacao: 86.977726  Teste: 80.315032  SRG: 1.146698

Média: Treinamento: 97.717676  Validacao: 86.977726  Teste: 80.315032

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 97.717676  Validacao: 86.977726  Teste: 80.315032  SRG: 1.146698
                RRSE

Exp 1 - Treinamento: 0.022823  Validacao: 0.130223  Teste: 0.196850  SRG: 1.146698

Média: Treinamento: 0.022823  Validacao: 0.130223  Teste: 0.196850

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.022823  Validacao: 0.130223  Teste: 0.196850  SRG: 1.146698


             Etapa 2 - Otimização dos pesos do reservatório

                RMSE

Exp 1 - Treinamento: 0.027276  Validacao: 0.113995  Teste: 0.166382  SRG: 1.388848

Média: Treinamento: 0.027276  Validacao: 0.113995  Teste: 0.166382

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.027276  Validacao: 0.113995  Teste: 0.166382  SRG: 1.388848

                fit

Exp 1 - Treinamento: 98.205805  Validacao: 93.823994  Teste: 89.789478  SRG: 1.388848

Média: Treinamento: 98.205805  Validacao: 93.823994  Teste: 89.789478

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 98.205805  Validacao: 93.823994  Teste: 89.789478  SRG: 1.388848
                RRSE

Exp 1 - Treinamento: 0.017942  Validacao: 0.061760  Teste: 0.102105  SRG: 1.388848

Média: Treinamento: 0.017942  Validacao: 0.061760  Teste: 0.102105

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.017942  Validacao: 0.061760  Teste: 0.102105  SRG: 1.388848

Tempo Total(1 experimentos): 386.861208 s
Exp: 1 - 	 Ger: 1 - 	 Best:    0.23708 - 	 Mean: 28043778.60754 - 	 AQreal:   35.78165  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.19307 - 	 Mean: 3029.05961 - 	 AQreal:   35.78165  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.19307 - 	 Mean:   39.03538 - 	 AQreal:   35.78165  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.19307 - 	 Mean:    0.38971 - 	 AQreal:   35.78165  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.19307 - 	 Mean:    0.32550 - 	 AQreal:   26.26207  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.18335 - 	 Mean:    0.28578 - 	 AQreal:   26.26207  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.18335 - 	 Mean:    0.26802 - 	 AQreal:   26.26207  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.18335 - 	 Mean:    0.25320 - 	 AQreal:   26.26207  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.18335 - 	 Mean:    0.24246 - 	 AQreal:   26.26207  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.18335 - 	 Mean:    0.23368 - 	 AQreal:   22.34123  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.18335 - 	 Mean:    0.22512 - 	 AQreal:   22.34123  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.18335 - 	 Mean:    0.21977 - 	 AQreal:   22.34123  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.18335 - 	 Mean:    0.21760 - 	 AQreal:   22.34123  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.18335 - 	 Mean:    0.21492 - 	 AQreal:   22.34123  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.18335 - 	 Mean:    0.21184 - 	 AQreal:   16.26636  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.18335 - 	 Mean:    0.20868 - 	 AQreal:   16.26636  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.18335 - 	 Mean:    0.20673 - 	 AQreal:   16.26636  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.18335 - 	 Mean:    0.20543 - 	 AQreal:   16.26636  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.18335 - 	 Mean:    0.20375 - 	 AQreal:   16.26636  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.18335 - 	 Mean:    0.20192 - 	 AQreal:   15.89297  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.18335 - 	 Mean:    0.20172 - 	 AQreal:   15.89297  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.18335 - 	 Mean:    0.20092 - 	 AQreal:   15.89297  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.18335 - 	 Mean:    0.19995 - 	 AQreal:   15.89297  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    0.17960 - 	 Mean:    0.19806 - 	 AQreal:   15.89297  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    0.17960 - 	 Mean:    0.19776 - 	 AQreal:   13.95370  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    0.17960 - 	 Mean:    0.19613 - 	 AQreal:   13.95370  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    0.17960 - 	 Mean:    0.19546 - 	 AQreal:   13.95370  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    0.17960 - 	 Mean:    0.19440 - 	 AQreal:   13.95370  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    0.17929 - 	 Mean:    0.19299 - 	 AQreal:   13.95370  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    0.17472 - 	 Mean:    0.19141 - 	 AQreal:   13.91853  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    0.17410 - 	 Mean:    0.18982 - 	 AQreal:   13.91853  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    0.17410 - 	 Mean:    0.18929 - 	 AQreal:   13.91853  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    0.17410 - 	 Mean:    0.18899 - 	 AQreal:   13.91853  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    0.17410 - 	 Mean:    0.18822 - 	 AQreal:   13.91853  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    0.17410 - 	 Mean:    0.18796 - 	 AQreal:   12.76330  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    0.17410 - 	 Mean:    0.18796 - 	 AQreal:   12.76330  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    0.17410 - 	 Mean:    0.18671 - 	 AQreal:   12.76330  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    0.17410 - 	 Mean:    0.18637 - 	 AQreal:   12.76330  	 
Exp: 1 - 	 Ger: 39 - 	 Best:    0.17410 - 	 Mean:    0.18570 - 	 AQreal:   12.76330  	 
Exp: 1 - 	 Ger: 40 - 	 Best:    0.17410 - 	 Mean:    0.18547 - 	 AQreal:   11.85076  	 
Exp: 1 - 	 Ger: 41 - 	 Best:    0.17410 - 	 Mean:    0.18506 - 	 AQreal:   11.85076  	 
Exp: 1 - 	 Ger: 42 - 	 Best:    0.17410 - 	 Mean:    0.18467 - 	 AQreal:   11.85076  	 
Exp: 1 - 	 Ger: 43 - 	 Best:    0.17194 - 	 Mean:    0.18387 - 	 AQreal:   11.85076  	 
Exp: 1 - 	 Ger: 44 - 	 Best:    0.17194 - 	 Mean:    0.18344 - 	 AQreal:   11.85076  	 
Exp: 1 - 	 Ger: 45 - 	 Best:    0.16978 - 	 Mean:    0.18234 - 	 AQreal:   14.93099  	 
Exp: 1 - 	 Ger: 46 - 	 Best:    0.16978 - 	 Mean:    0.18218 - 	 AQreal:   14.93099  	 
Exp: 1 - 	 Ger: 47 - 	 Best:    0.16978 - 	 Mean:    0.18201 - 	 AQreal:   14.93099  	 
Exp: 1 - 	 Ger: 48 - 	 Best:    0.16780 - 	 Mean:    0.18088 - 	 AQreal:   14.93099  	 
Exp: 1 - 	 Ger: 49 - 	 Best:    0.16780 - 	 Mean:    0.18057 - 	 AQreal:   14.93099  	 
